Ticker,Company
A2A.MI,A2A
AMP.MI,Amplifon
AZM.MI,Azimut Holding
BAMI.MI,Banco BPM
BCA.MI,Banca Popolare di Sondrio
BMED.MI,Banca Mediolanum
BMPS.MI,Banca Monte dei Paschi di Siena
BPE.MI,BPER Banca
BZU.MI,Buzzi
CPR.MI,Campari
DIA.MI,DiaSorin
ENEL.MI,Enel
ENI.MI,Eni
ERG.MI,ERG
EVO.MI,Enav
FBK.MI,FinecoBank
FCT.MI,Fincantieri
RACE.MI,Ferrari
G.MI,Assicurazioni Generali
HER.MI,Hera
IGV.MI,Iveco Group
INW.MI,Inwit
ISP.MI,Intesa Sanpaolo
LDO.MI,Leonardo
Lottomatica.MI,Lottomatica Group
MB.MI,Mediobanca
MONC.MI,Moncler
NEXI.MI,Nexi
PST.MI,Poste Italiane
PRY.MI,Prysmian
REC.MI,Recordati
SPM.MI,Saipem
SRG.MI,Snam
STLAM.MI,Stellantis
STMMI.MI,STMicroelectronics
TEN.MI,Tenaris
TRN.MI,Terna
TIT.MI,Telecom Italia
UCG.MI,UniCredit
UNI.MI,Unipol
