Ticker,Company
ANA.MC,Acciona
ANE.MC,Acciona Energía
ACX.MC,Acerinox
ACS.MC,ACS
AENA.MC,AENA
AMS.MC,Amadeus IT Group
BBVA.MC,BBVA
BKT.MC,Bankinter
CABK.MC,CaixaBank
CLNX.MC,Cellnex Telecom
COL.MC,Inmobiliaria Colonial
ELE.MC,Endesa
ENG.MC,Enagás
FDR.MC,Fluidra
FER.MC,Ferrovial
GRF.MC,Grifols
IAG.MC,International Airlines Group
IBE.MC,Iberdrola
IDR.MC,Indra
ITX.MC,Inditex
LOG.MC,Logista
MAP.MC,Mapfre
MRL.MC,Merlin Properties
MTS.MC,ArcelorMittal
NTGY.MC,Naturgy
PUIG.MC,Puig
RED.MC,Redeia Corporación
REP.MC,Repsol
ROVI.MC,Laboratorios Rovi
SAB.MC,Banco Sabadell
SAN.MC,Santander
SCYR.MC,Sacyr
SLR.MC,Solaria
TEF.MC,Telefónica
UNI.MC,Unicaja
